"station";"x_utm";"y_utm";"WB_name";"TYP_NFS06";"WB_ID";"area";"institution";"type";"typology";"country";"obspoint";"station_depth";"date";"year";"month";"period";"value";"param";"depth";"time"
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";38;2004-06-01;2004;6;"2001-2006";2.345;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";38;2004-07-06;2004;7;"2001-2006";2.995;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";34;2004-08-03;2004;8;"2001-2006";4;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";38;2004-09-07;2004;9;"2001-2006";2.975;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";39;2004-10-05;2004;10;"2001-2006";3.41;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";37;2004-11-02;2004;11;"2001-2006";1.355;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";39;2004-12-07;2004;12;"2001-2006";0.81;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";38;2005-02-01;2005;2;"2001-2006";0.63;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";39;2005-03-01;2005;3;"2001-2006";9.22;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";37;2005-04-05;2005;4;"2001-2006";1.085;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";38;2005-05-02;2005;5;"2001-2006";2.025;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";38;2005-06-08;2005;6;"2001-2006";2.585;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";38;2005-07-05;2005;7;"2001-2006";1.2;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";37;2005-08-02;2005;8;"2001-2006";2.075;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";36;2005-09-06;2005;9;"2001-2006";1.78;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";38;2005-10-04;2005;10;"2001-2006";3.415;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";39;2005-11-01;2005;11;"2001-2006";2.295;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";39;2005-12-06;2005;12;"2001-2006";3.86;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";38;2006-01-10;2006;1;"2001-2006";5.82;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";37;2006-02-07;2006;2;"2001-2006";6.53;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";38;2006-03-07;2006;3;"2001-2006";2.98;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";37;2006-04-04;2006;4;"2001-2006";0.775;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";40;2006-05-02;2006;5;"2001-2006";4.825;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";38;2006-05-30;2006;5;"2001-2006";5.605;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";38;2006-07-04;2006;7;"2001-2006";0.87;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";39;2006-08-01;2006;8;"2001-2006";3.155;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";39;2006-09-05;2006;9;"2001-2006";6.645;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";35;2006-10-03;2006;10;"2001-2006";2.57;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";37;2006-11-07;2006;11;"2001-2006";0.95;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";38;2006-12-05;2006;12;"2001-2006";1.61;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";38;2007-01-10;2007;1;"2007-2012";1.01111111111111;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";37;2007-02-07;2007;2;"2007-2012";0.5;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";36;2007-03-07;2007;3;"2007-2012";1.55555555555556;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";40;2007-04-04;2007;4;"2007-2012";0.633333333333333;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";38;2007-05-03;2007;5;"2007-2012";3.16666666666667;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";36;2007-06-05;2007;6;"2007-2012";4.08888888888889;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";38;2007-07-04;2007;7;"2007-2012";3.95555555555555;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";38;2007-08-08;2007;8;"2007-2012";3.16111111111111;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";39;2007-09-05;2007;9;"2007-2012";4.61111111111111;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";39;2007-10-03;2007;10;"2007-2012";5.65555555555556;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";37;2007-11-07;2007;11;"2007-2012";2.94444444444444;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";37;2007-12-05;2007;12;"2007-2012";1.16666666666667;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";39;2008-01-08;2008;1;"2007-2012";0.575;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";39;2008-02-05;2008;2;"2007-2012";0.59;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";40;2008-03-04;2008;3;"2007-2012";3.035;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";38;2008-04-01;2008;4;"2007-2012";3.64;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";39;2008-05-06;2008;5;"2007-2012";2.875;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";40;2008-06-03;2008;6;"2007-2012";2.895;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";39;2008-06-30;2008;6;"2007-2012";3.08;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";39;2008-08-05;2008;8;"2007-2012";0.975;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";37;2008-09-02;2008;9;"2007-2012";1.98;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";40;2008-10-07;2008;10;"2007-2012";4.13;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";37;2008-11-04;2008;11;"2007-2012";5.09;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";39;2008-12-01;2008;12;"2007-2012";1.4;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";39;2009-01-08;2009;1;"2007-2012";0.685;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";38;2009-02-02;2009;2;"2007-2012";0.925;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";39;2009-03-02;2009;3;"2007-2012";5.53;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";41;2009-03-30;2009;3;"2007-2012";1.44;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";41;2009-05-04;2009;5;"2007-2012";4.04;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";39;2009-06-01;2009;6;"2007-2012";1.66;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";40;2009-07-07;2009;7;"2007-2012";1.735;"chla";;
